質問１．現在、あなたは「福祉」とどのような関わりがありますか。次の中から該当するものをすべて選んでください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問１,全体,年代別１,,,,,,,,年代別２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10歳代,20歳代,30歳代,40歳代,50歳代,60歳代,70歳代,"80歳
以上",高齢者,,,"65歳
未満",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．玄関前の掃除、除雪,264 ,5 ,19 ,24 ,45 ,47 ,54 ,44 ,24 ,56 ,44 ,100 ,264 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28.7%,33.3%,38.8%,30.4%,34.4%,35.1%,26.3%,24.0%,22.2%,25.8%,22.6%,24.3%,53.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．通院など外出時の付
　き添い",91 ,2 ,3 ,5 ,12 ,16 ,18 ,23 ,10 ,26 ,19 ,45 ,91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.9%,13.3%,6.1%,6.3%,9.2%,11.9%,8.8%,12.6%,9.3%,12.0%,9.7%,10.9%,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．町内会の掃除当番な
　どの軽減",294 ,3 ,19 ,25 ,38 ,54 ,68 ,50 ,32 ,72 ,50 ,122 ,294 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32.0%,20.0%,38.8%,31.6%,29.0%,40.3%,33.2%,27.3%,29.6%,33.2%,25.6%,29.6%,59.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．短時間の留守番、子
　どもの預かり",12 ,0 ,1 ,4 ,3 ,0 ,3 ,1 ,0 ,1 ,1 ,2 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.3%,0.0%,2.0%,5.1%,2.3%,0.0%,1.5%,0.5%,0.0%,0.5%,0.5%,0.5%,2.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．災害時の避難支援,322 ,5 ,25 ,35 ,50 ,48 ,69 ,59 ,30 ,74 ,56 ,130 ,322 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35.0%,33.3%,51.0%,44.3%,38.2%,35.8%,33.7%,32.2%,27.8%,34.1%,28.7%,31.6%,65.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．特にない,144 ,2 ,5 ,10 ,12 ,18 ,33 ,39 ,22 ,36 ,42 ,78 ,144 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.7%,13.3%,10.2%,12.7%,9.2%,13.4%,16.1%,21.3%,20.4%,16.6%,21.5%,18.9%,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. その他,16 ,0 ,0 ,1 ,0 ,0 ,3 ,6 ,4 ,5 ,7 ,12 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.7%,0.0%,0.0%,1.3%,0.0%,0.0%,1.5%,3.3%,3.7%,2.3%,3.6%,2.9%,3.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,44 ,1 ,0 ,3 ,6 ,2 ,7 ,12 ,11 ,14 ,15 ,29 ,44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.8%,6.7%,0.0%,3.8%,4.6%,1.5%,3.4%,6.6%,10.2%,6.5%,7.7%,7.0%,8.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問６,性別,,職業別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,男性,女性,有業者,,,,,無業者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,雇われている人,会社・団体の役員,自営・家族従事者,"その他
有業者",(小計),学生,"専業
主婦","年金
生活者","その他
無業者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,365 ,541 ,366 ,19 ,54 ,22 ,461 ,24 ,101 ,294 ,18 ,437 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．安否確認の声かけ,135 ,196 ,147 ,9 ,20 ,6 ,182 ,6 ,37 ,98 ,4 ,145 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37.0%,36.2%,40.2%,47.4%,37.0%,27.3%,39.5%,25.0%,36.6%,33.3%,22.2%,33.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２．話し相手,40 ,73 ,45 ,2 ,3 ,4 ,54 ,9 ,7 ,40 ,1 ,57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11.0%,13.5%,12.3%,10.5%,5.6%,18.2%,11.7%,37.5%,6.9%,13.6%,5.6%,13.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．悩みごと、心配ごと
　の相談",32 ,50 ,37 ,1 ,3 ,2 ,43 ,2 ,7 ,28 ,1 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.8%,9.2%,10.1%,5.3%,5.6%,9.1%,9.3%,8.3%,6.9%,9.5%,5.6%,8.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．買い物・ごみ出しな
　ど簡単な家事の手伝い",71 ,126 ,76 ,6 ,12 ,4 ,98 ,8 ,30 ,55 ,5 ,98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.5%,23.3%,20.8%,31.6%,22.2%,18.2%,21.3%,33.3%,29.7%,18.7%,27.8%,22.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．食事の提供、調理の
　手伝い",31 ,24 ,19 ,2 ,6 ,1 ,28 ,3 ,4 ,20 ,0 ,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.5%,4.4%,5.2%,10.5%,11.1%,4.5%,6.1%,12.5%,4.0%,6.8%,0.0%,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．玄関前の掃除、除雪,101 ,162 ,117 ,6 ,15 ,5 ,143 ,9 ,30 ,76 ,4 ,119 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27.7%,29.9%,32.0%,31.6%,27.8%,22.7%,31.0%,37.5%,29.7%,25.9%,22.2%,27.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．通院など外出時の付
　き添い",33 ,56 ,38 ,2 ,11 ,1 ,52 ,2 ,5 ,28 ,1 ,36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.0%,10.4%,10.4%,10.5%,20.4%,4.5%,11.3%,8.3%,5.0%,9.5%,5.6%,8.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．町内会の掃除当番な
　どの軽減",97 ,193 ,118 ,4 ,16 ,9 ,147 ,8 ,33 ,98 ,3 ,142 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26.6%,35.7%,32.2%,21.1%,29.6%,40.9%,31.9%,33.3%,32.7%,33.3%,16.7%,32.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．短時間の留守番、子
　どもの預かり",1 ,11 ,4 ,1 ,1 ,0 ,6 ,0 ,4 ,2 ,0 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.3%,2.0%,1.1%,5.3%,1.9%,0.0%,1.3%,0.0%,4.0%,0.7%,0.0%,1.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．災害時の避難支援,121 ,199 ,144 ,9 ,15 ,6 ,174 ,9 ,32 ,99 ,7 ,147 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33.2%,36.8%,39.3%,47.4%,27.8%,27.3%,37.7%,37.5%,31.7%,33.7%,38.9%,33.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．特にない,72 ,70 ,46 ,2 ,11 ,4 ,63 ,2 ,17 ,53 ,4 ,76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.7%,12.9%,12.6%,10.5%,20.4%,18.2%,13.7%,8.3%,16.8%,18.0%,22.2%,17.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. その他,6 ,9 ,1 ,0 ,0 ,0 ,1 ,0 ,1 ,11 ,1 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.6%,1.7%,0.3%,0.0%,0.0%,0.0%,0.2%,0.0%,1.0%,3.7%,5.6%,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,14 ,28 ,12 ,0 ,2 ,1 ,15 ,1 ,5 ,18 ,1 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.8%,5.2%,3.3%,0.0%,3.7%,4.5%,3.3%,4.2%,5.0%,6.1%,5.6%,5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問６,居住地域別,,,,,,,居住年数別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,中央,東部,西部,南部,北部,河辺,雄和,"５年
未満","５～
９年","10～
19年","20～
29年","30年
以上",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,214 ,180 ,97 ,139 ,235 ,22 ,15 ,37 ,39 ,73 ,137 ,606 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．安否確認の声かけ,70 ,77 ,33 ,46 ,85 ,12 ,5 ,14 ,20 ,24 ,52 ,219 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32.7%,42.8%,34.0%,33.1%,36.2%,54.5%,33.3%,37.8%,51.3%,32.9%,38.0%,36.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２．話し相手,22 ,20 ,8 ,16 ,38 ,5 ,3 ,4 ,5 ,12 ,12 ,74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.3%,11.1%,8.2%,11.5%,16.2%,22.7%,20.0%,10.8%,12.8%,16.4%,8.8%,12.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．悩みごと、心配ごと
　の相談",22 ,16 ,8 ,10 ,22 ,3 ,1 ,1 ,5 ,7 ,5 ,64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.3%,8.9%,8.2%,7.2%,9.4%,13.6%,6.7%,2.7%,12.8%,9.6%,3.6%,10.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．買い物・ごみ出しな
　ど簡単な家事の手伝い",45 ,48 ,15 ,31 ,51 ,3 ,4 ,11 ,7 ,15 ,28 ,133 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.0%,26.7%,15.5%,22.3%,21.7%,13.6%,26.7%,29.7%,17.9%,20.5%,20.4%,21.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．食事の提供、調理の
　手伝い",10 ,11 ,8 ,9 ,13 ,2 ,2 ,1 ,1 ,3 ,9 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.7%,6.1%,8.2%,6.5%,5.5%,9.1%,13.3%,2.7%,2.6%,4.1%,6.6%,6.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．玄関前の掃除、除雪,61 ,64 ,35 ,41 ,56 ,2 ,4 ,13 ,12 ,15 ,49 ,170 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28.5%,35.6%,36.1%,29.5%,23.8%,9.1%,26.7%,35.1%,30.8%,20.5%,35.8%,28.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．通院など外出時の付
　き添い",15 ,19 ,5 ,17 ,26 ,4 ,3 ,1 ,5 ,7 ,15 ,61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0%,10.6%,5.2%,12.2%,11.1%,18.2%,20.0%,2.7%,12.8%,9.6%,10.9%,10.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．町内会の掃除当番な
　どの軽減",66 ,71 ,27 ,50 ,64 ,5 ,4 ,8 ,10 ,22 ,46 ,202 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30.8%,39.4%,27.8%,36.0%,27.2%,22.7%,26.7%,21.6%,25.6%,30.1%,33.6%,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．短時間の留守番、子
　どもの預かり",2 ,2 ,3 ,4 ,1 ,0 ,0 ,2 ,2 ,2 ,0 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9%,1.1%,3.1%,2.9%,0.4%,0.0%,0.0%,5.4%,5.1%,2.7%,0.0%,1.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．災害時の避難支援,82 ,57 ,30 ,45 ,92 ,6 ,9 ,15 ,21 ,27 ,59 ,196 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38.3%,31.7%,30.9%,32.4%,39.1%,27.3%,60.0%,40.5%,53.8%,37.0%,43.1%,32.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．特にない,33 ,20 ,20 ,27 ,36 ,2 ,2 ,7 ,3 ,13 ,16 ,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.4%,11.1%,20.6%,19.4%,15.3%,9.1%,13.3%,18.9%,7.7%,17.8%,11.7%,16.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. その他,3 ,5 ,1 ,0 ,5 ,0 ,0 ,0 ,0 ,1 ,0 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.4%,2.8%,1.0%,0.0%,2.1%,0.0%,0.0%,0.0%,0.0%,1.4%,0.0%,2.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,11 ,5 ,7 ,5 ,13 ,2 ,0 ,2 ,1 ,4 ,6 ,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.1%,2.8%,7.2%,3.6%,5.5%,9.1%,0.0%,5.4%,2.6%,5.5%,4.4%,4.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問６,同居家族別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,子ども(中学生以下)がいない,,,,,子どもがいる,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単身,"夫婦
のみ",二世代,三世代,(小計),二世代,三世代,(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,121 ,264 ,231 ,45 ,661 ,133 ,35 ,168 ,65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．安否確認の声かけ,56 ,102 ,78 ,12 ,248 ,49 ,5 ,54 ,23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46.3%,38.6%,33.8%,26.7%,37.5%,36.8%,14.3%,32.1%,35.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２．話し相手,18 ,21 ,27 ,7 ,73 ,19 ,3 ,22 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.9%,8.0%,11.7%,15.6%,11.0%,14.3%,8.6%,13.1%,21.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．悩みごと、心配ごと
　の相談",9 ,24 ,16 ,6 ,55 ,13 ,1 ,14 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.4%,9.1%,6.9%,13.3%,8.3%,9.8%,2.9%,8.3%,16.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．買い物・ごみ出しな
　ど簡単な家事の手伝い",29 ,56 ,54 ,10 ,149 ,30 ,6 ,36 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.0%,21.2%,23.4%,22.2%,22.5%,22.6%,17.1%,21.4%,18.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．食事の提供、調理の
　手伝い",10 ,13 ,18 ,0 ,41 ,3 ,4 ,7 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.3%,4.9%,7.8%,0.0%,6.2%,2.3%,11.4%,4.2%,10.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
６．玄関前の掃除、除雪,29 ,89 ,66 ,9 ,193 ,42 ,7 ,49 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24.0%,33.7%,28.6%,20.0%,29.2%,31.6%,20.0%,29.2%,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"７．通院など外出時の付
　き添い",12 ,27 ,26 ,6 ,71 ,9 ,5 ,14 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.9%,10.2%,11.3%,13.3%,10.7%,6.8%,14.3%,8.3%,7.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"８．町内会の掃除当番な
　どの軽減",42 ,90 ,68 ,9 ,209 ,50 ,8 ,58 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34.7%,34.1%,29.4%,20.0%,31.6%,37.6%,22.9%,34.5%,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"９．短時間の留守番、子
　どもの預かり",0 ,1 ,0 ,0 ,1 ,9 ,0 ,9 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0%,0.4%,0.0%,0.0%,0.2%,6.8%,0.0%,5.4%,3.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10．災害時の避難支援,35 ,105 ,87 ,15 ,242 ,49 ,10 ,59 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28.9%,39.8%,37.7%,33.3%,36.6%,36.8%,28.6%,35.1%,21.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11．特にない,19 ,32 ,38 ,11 ,100 ,16 ,12 ,28 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.7%,12.1%,16.5%,24.4%,15.1%,12.0%,34.3%,16.7%,16.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. その他,2 ,8 ,3 ,0 ,13 ,0 ,1 ,1 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.7%,3.0%,1.3%,0.0%,2.0%,0.0%,2.9%,0.6%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　無回答,7 ,12 ,9 ,3 ,31 ,6 ,2 ,8 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.8%,4.5%,3.9%,6.7%,4.7%,4.5%,5.7%,4.8%,4.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
質問６,同居家族別(高齢者),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,単身,,,夫婦のみ,,,子世代と同居,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),"前期
高齢者","後期
高齢者",(小計),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　有効回答者数,35 ,30 ,65 ,87 ,75 ,162 ,71 ,64 ,135 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１．安否確認の声かけ,14 ,12 ,26 ,34 ,25 ,59 ,20 ,17 ,37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40.0%,40.0%,40.0%,39.1%,33.3%,36.4%,28.2%,26.6%,27.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２．話し相手,2 ,9 ,11 ,9 ,6 ,15 ,6 ,10 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7%,30.0%,16.9%,10.3%,8.0%,9.3%,8.5%,15.6%,11.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"３．悩みごと、心配ごと
　の相談",2 ,1 ,3 ,9 ,7 ,16 ,4 ,8 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.7%,3.3%,4.6%,10.3%,9.3%,9.9%,5.6%,12.5%,8.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"４．買い物・ごみ出しな
　ど簡単な家事の手伝い",10 ,8 ,18 ,12 ,21 ,33 ,18 ,13 ,31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28.6%,26.7%,27.7%,13.8%,28.0%,20.4%,25.4%,20.3%,23.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"５．食事の提供、調理の
　手伝い",4 ,2 ,6 ,5 ,3 ,8 ,7 ,3 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
