営業所名,営業所住所,営業所電話番号,申請者名,申請区分,指令番号,業種名,業態名,許可年月日,許可期間（開始）,許可期間（満了）
カラオケ喫茶＆スナック　天空の城　昴,秋田市山王一丁目７－３,018-874-7312,谷岡としえ,新規,180,飲食店営業,一般,3/16/18,3/16/18,4/30/23
ローソン秋田保戸野千代田町店,秋田市保戸野千代田町１３－３７,018-853-0177,株式会社　Ｋ＆Ｋメルシ,新規,182,飲食店営業,その他,3/19/18,3/19/18,1/31/25
Ｐｌａｇｅ,秋田市中通四丁目１６－８,018-825-0023,川辺茜,新規,202,飲食店営業,その他,3/22/18,3/22/18,11/30/23
ケンタッキーフライドチキン　秋田新国道店,秋田市泉登木２００－１,018-888-1785,ＫＰダイニング株式会社,新規,198,飲食店営業,一般,3/22/18,3/22/18,8/31/23
ダ・ヴィンチ,秋田市大町五丁目３－３６,,久保野友希,新規,197,飲食店営業,一般,3/22/18,3/22/18,10/31/23
由利屋トラック,秋田市内,,佐藤雄一,新規,209,飲食店営業,移動,3/23/18,3/23/18,5/31/23
禁煙ばー　縁　～ＥＮＩＳＨＩ～,秋田市山王一丁目７－２０,018-827-6410,近藤美奈子,新規,213,飲食店営業,一般,3/26/18,3/26/18,4/30/23
秋田長屋酒場,秋田市中通四丁目１６－１７,018-837-0505,株式会社　ドリームリンク,新規,212,飲食店営業,一般,3/26/18,3/26/18,11/30/23
ファミリーマート外旭川店,秋田市外旭川八幡田一丁目１－５,018-869-9200,株式会社　エフイズム,新規,215,飲食店営業,その他,3/26/18,3/26/18,7/31/23
北海道レストラン　ルンゴカーニバル　秋田店,秋田市高陽幸町８－２３,018-893-6266,清水真也,新規,224,飲食店営業,一般,3/29/18,3/29/18,8/31/23
カラオケ　との,秋田市大町六丁目２－１３,,佐藤光儀,新規,227,飲食店営業,一般,3/29/18,3/29/18,10/31/23
ショートステイ　むすびの郷,秋田市雄和田草川字本田２４１－５７,,株式会社　秋田キャッスルホテル,新規,231,飲食店営業,一般,3/29/18,3/29/18,8/31/23
なつかしの味　支那そば,秋田市卸町二丁目２－７,018-824-3789,猪股ますみ,新規,242,飲食店営業,一般,3/30/18,3/30/18,6/30/23
中華料理　美味軒,秋田市中通四丁目７－３５,018-833-0477,周徳生,新規,245,飲食店営業,一般,4/4/18,4/4/18,11/30/23
そば　忠士,秋田市将軍野東一丁目５－６９,018-838-7362,加賀谷宏憲,新規,246,飲食店営業,一般,4/4/18,4/4/18,5/31/23
ＨＯＭＥＳ,秋田市東通仲町１８－１８,,小林博純,新規,247,飲食店営業,一般,4/4/18,4/4/18,9/30/23
(株)秋田まるごと市場,秋田市卸町二丁目２－７,018-866-8001,株式会社　秋田まるごと市場,新規,253,飲食店営業,一般,4/10/18,4/10/18,6/30/23
ハッピー・ライン株式会社　心の花　静庵,秋田市牛島東六丁目１－３６,018-827-7303,ハッピー・ライン株式会社,新規,260,飲食店営業,一般,4/13/18,4/13/18,6/30/23
Ｓｈａｎ,秋田市大町五丁目２－２２,018-863-2555,山田商事株式会社,新規,265,飲食店営業,その他,4/13/18,4/13/18,10/31/23
ＴＫフーズ,秋田市内,,竹内克哉,新規,269,飲食店営業,露天営業,4/13/18,4/13/18,4/12/23
Ｍ－ｆｏｏｄｓ,秋田市内,,小笠原勝,新規,268,飲食店営業,移動,4/13/18,4/13/18,5/31/23
はらた,秋田市山王一丁目１０－１２,018-862-1368,伊藤薫,継続,288,飲食店営業,一般,4/19/18,5/1/18,4/30/24
蓬,秋田市山王一丁目１１－２９,018-863-1415,有限会社　蓬,継続,287,飲食店営業,一般,4/19/18,5/1/18,4/30/24
Ｌａｕｎｇｅ　プリンセス,秋田市山王一丁目８－８,018-863-7797,石綿るり子,継続,281,飲食店営業,その他,4/19/18,5/1/18,4/30/23
ラウンジ　きゃら,秋田市大町五丁目２－２２,018-865-7095,有限会社　彩和,新規,295,飲食店営業,一般,4/19/18,4/19/18,10/31/23
Ｆａｉｒｙ　ｌａｎｄ,秋田市山王一丁目２－１３,018-867-8066,木場加奈子,継続,283,飲食店営業,一般,4/19/18,5/1/18,4/30/23
ビストロ　ラエール,秋田市山王一丁目８－９,018-874-8633,伊藤政宣,継続,284,飲食店営業,一般,4/19/18,5/1/18,4/30/24
ファミリーマート秋田寺内神屋敷店,秋田市寺内神屋敷７９－３,018-880-6116,株式会社　エフイズム,新規,296,飲食店営業,その他,4/19/18,4/19/18,8/31/24
ナガハマコーヒー山王店,秋田市山王一丁目２－２４,018-896-5081,ナガハマコーヒー株式会社,継続,289,飲食店営業,一般,4/19/18,5/1/18,4/30/24
ぱっぷや　まるごと市場店,秋田市卸町二丁目２－７,018-896-6101,株式会社　ジェイズ,新規,294,飲食店営業,一般,4/19/18,4/19/18,6/30/23
酒讃家,秋田市山王一丁目６－７,,藤木聡,継続,282,飲食店営業,一般,4/19/18,5/1/18,4/30/24
麺屋　うまし,秋田市茨島四丁目３－３６,018-864-7060,鈴木祐樹,継続,302,飲食店営業,一般,4/20/18,5/1/18,4/30/24
イオンスタイル茨島,秋田市茨島四丁目３－１８,018-896-5211,イオン東北株式会社,継続,307,食肉販売業,一般,4/20/18,5/1/18,4/30/24
イオンスタイル茨島,秋田市茨島四丁目３－１８,018-896-5211,イオン東北株式会社,継続,306,菓子製造業,一般,4/20/18,5/1/18,4/30/24
イオンスタイル茨島（惣菜・すし）,秋田市茨島四丁目３－１８,018-896-5211,イオン東北株式会社,継続,305,飲食店営業,仕出し・弁当,4/20/18,5/1/18,4/30/24
イオンスタイル茨島,秋田市茨島四丁目３－１８,018-896-5211,イオン東北株式会社,継続,304,飲食店営業,その他,4/20/18,5/1/18,4/30/24
たい夢　茨島店,秋田市茨島四丁目３－１８,018-862-5980,株式会社　三愛社,継続,313,飲食店営業,その他,4/23/18,5/1/18,4/30/24
岩崎旅館,秋田市茨島二丁目５－９,018-864-8481,岩崎和子,継続,309,飲食店営業,一般,4/23/18,5/1/18,4/30/24
ガスト秋田茨島店,秋田市茨島四丁目３－２７,018-896-5047,株式会社　すかいらーくレストランツ,継続,310,飲食店営業,一般,4/23/18,5/1/18,4/30/24
八永南部家敷　茨島店,秋田市茨島四丁目３－１７,018-896-5200,株式会社　八永南部家敷,継続,312,飲食店営業,一般,4/23/18,5/1/18,4/30/24
Ｌａ・Ｋａｓｕｇａ　ラ・カスガ,秋田市山王五丁目８－１６,018-800-0081,櫻田昭義,継続,347,飲食店営業,一般,4/24/18,5/1/18,4/30/24
市立秋田総合病院食堂,秋田市川元松丘町４－３０,018-823-4171,有限会社　桃山,継続,327,飲食店営業,一般,4/24/18,5/1/18,4/30/24
拉麺職人　満大,秋田市山王二丁目９－１１,018-823-5080,古山昌志,継続,341,飲食店営業,一般,4/24/18,5/1/18,4/30/24
居酒屋　やま田,秋田市山王二丁目１０－２１,018-823-7688,山田清太郎,継続,344,飲食店営業,一般,4/24/18,5/1/18,4/30/23
とんかつ藤よし　山王店,秋田市山王中園町３－２３,018-823-8824,株式会社　アジマックス,継続,346,飲食店営業,一般,4/24/18,5/1/18,4/30/24
ドジャース食品館,秋田市川尻大川町８－２５,018-827-7200,株式会社　ドジャース商事,継続,328,飲食店営業,仕出し・弁当,4/24/18,5/1/18,4/30/24
ドジャース食品館,秋田市川尻大川町８－２５,018-827-7200,株式会社　ドジャース商事,継続,330,魚介類販売業,一般,4/24/18,5/1/18,4/30/24
ドジャース食品館,秋田市川尻大川町８－２５,018-827-7200,株式会社　ドジャース商事,継続,329,食肉販売業,一般,4/24/18,5/1/18,4/30/24
ｋｉｔｃｈｅｎ　ｙａｍａｙａ,秋田市山王二丁目１－５６,018-862-1888,山崎拓司,継続,342,飲食店営業,一般,4/24/18,5/1/18,4/30/24
秋田典礼会館,秋田市山王二丁目４－１５,018-862-5106,株式会社　へいあん秋田,継続,334,飲食店営業,一般,4/24/18,5/1/18,4/30/24
秋田典礼会館,秋田市山王二丁目４－１５,018-862-5106,株式会社　へいあん秋田,継続,335,飲食店営業,一般,4/24/18,5/1/18,4/30/24
リストランテ　山野江,秋田市山王三丁目３－２２,018-862-5800,山野江一浩,継続,339,飲食店営業,一般,4/24/18,5/1/18,4/30/24
居酒屋　いつも,秋田市山王一丁目１２－２８,018-864-5421,石川範子,継続,337,飲食店営業,一般,4/24/18,5/1/18,4/30/24
北の台所　以真沁,秋田市山王三丁目１－７,018-865-8787,株式会社　友愛社,継続,348,飲食店営業,一般,4/24/18,5/1/18,4/30/24
ｇｒａｄｏ（グラード）,秋田市山王二丁目７－２,018-866-3886,小川淳,継続,340,飲食店営業,一般,4/24/18,5/1/18,4/30/24
桔梗,秋田市山王三丁目１－７,018-896-7118,播磨谷妙子,継続,336,飲食店営業,一般,4/24/18,5/1/18,4/30/23
鳥優,秋田市山王新町１０－１８,,高橋光,継続,345,飲食店営業,一般,4/24/18,5/1/18,4/30/24
回鮮まぐろ亭,秋田市保戸野千代田町２－２３,018-827-4700,北川フーズ株式会社,新規,374,飲食店営業,一般,4/25/18,4/25/18,1/31/24
荒磯ラーメン,秋田市山王一丁目２－２２,018-862-0148,株式会社　大幸,継続,352,飲食店営業,一般,4/25/18,5/1/18,4/30/24
開和食堂,秋田市山王中園町１１－４１,018-862-3817,工藤テツ,継続,366,飲食店営業,一般,4/25/18,5/1/18,4/30/23
そば処風月,秋田市山王四丁目６－２０,018-863-6696,工藤直志,継続,365,飲食店営業,一般,4/25/18,5/1/18,4/30/24
茶屋,秋田市山王一丁目９－１５,018-863-7488,進藤ミチ子,継続,353,飲食店営業,一般,4/25/18,5/1/18,4/30/23
ぴぴ,秋田市山王一丁目７－２０,,飯澤美津子,継続,354,飲食店営業,一般,4/25/18,5/1/18,4/30/23
ふわりずむ,秋田市外旭川八柳三丁目６－４３,,小玉直史,新規,375,飲食店営業,一般,4/25/18,4/25/18,7/31/23
Ｃａｆｅ　ネコックス,秋田市中通四丁目１６－１１,018-827-4707,合同会社　ユイリ,新規,382,飲食店営業,一般,4/26/18,4/26/18,11/30/23
そば処港ばやし,秋田市土崎港中央六丁目１６－１５,018-846-8421,ＪＲ東日本東北総合サービス株式会社,新規,385,飲食店営業,一般,4/26/18,4/26/18,5/31/23
御食事処  京,秋田市山王一丁目２－７,018-823-1315,川辺京子,継続,388,飲食店営業,一般,4/27/18,5/1/18,4/30/24
ワインガーデン　リッシュブール,秋田市山王一丁目７－２０,018-862-7976,岸部有三,継続,387,飲食店営業,一般,4/27/18,5/1/18,4/30/23
柳麺多むら　外旭川店,秋田市外旭川字小谷地４４－１,018-893-5772,柳麺多むら株式会社,新規,394,飲食店営業,一般,4/27/18,4/27/18,7/31/23
ダイアナ,秋田市中通四丁目１６－８,018-834-7018,貝塚竹子,新規,399,飲食店営業,一般,5/1/18,5/1/18,11/30/23
Ｓ　ｃａｆｅ,秋田市泉南一丁目１６－２６,018-827-4410,株式会社　佐藤建設工業,新規,403,飲食店営業,一般,5/2/18,5/2/18,8/31/23
よねちゃんラーメン,秋田市内,,米谷一広,継続,406,飲食店営業,移動,5/8/18,6/1/18,5/31/23
ちひろ亭,秋田市添川字地ノ内９７－４４,018-811-2207,株式会社　モナ,新規,409,飲食店営業,一般,5/10/18,5/10/18,7/31/23
北海屋,秋田市飯島道東二丁目１５－３,018-845-6289,谷貝スメ,継続,408,飲食店営業,一般,5/10/18,6/1/18,5/30/23
つけめん　ＳＨＥ－ＨＡＲ,秋田市東通五丁目１－５,018-834-3700,篠田亮太,新規,415,飲食店営業,一般,5/14/18,5/14/18,9/30/23
ラ・ピアス,秋田市大町三丁目２－２２,018-863-2666,外山厚子,新規,416,飲食店営業,その他,5/14/18,5/14/18,10/31/23
大判焼　だるま,秋田市内,018-845-2195,鈴木由美子,継続,424,菓子製造業,移動,5/15/18,6/1/18,5/31/23
たこ焼　だるま,秋田市内,,鈴木由美子,継続,423,飲食店営業,移動,5/15/18,6/1/18,5/31/23
ピザフリッタ２３１９,秋田市新屋日吉町２３－１９,018-828-1597,佐々木由美,新規,445,飲食店営業,一般,5/17/18,5/17/18,6/30/23
麺屋　うるとら　ＴＳＵＣＨＩＺＡＫＩ,秋田市土崎港北七丁目５－５９,018-847-7022,有限会社　ニシキダイナー,継続,431,飲食店営業,一般,5/17/18,6/1/18,5/31/24
ポニーテール,秋田市金足追分字海老穴２７１,018-873-2948,斉藤秀孝,継続,435,飲食店営業,一般,5/17/18,6/1/18,5/31/24
南秋田カントリークラブ,秋田市金足吉田字浅田１－１,018-873-3824,株式会社　南秋田カントリークラブ,継続,432,飲食店営業,一般,5/17/18,6/1/18,5/31/24
大雅,秋田市金足追分字海老穴２１３－７,018-873-5081,大高一男,継続,433,飲食店営業,一般,5/17/18,6/1/18,5/31/23
東秋田食品株式会社,秋田市雄和椿川字前椿岱４０８－１,018-886-5050,東秋田食品株式会社,新規,444,食肉処理業,一般,5/17/18,5/17/18,8/31/23
（株）暁フーズ,秋田市雄和椿川字前椿岱４０８,018-886-5050,株式会社　暁フーズ,新規,442,食肉販売業,一般,5/17/18,5/17/18,8/31/23
（株）暁フーズ,秋田市雄和椿川字前椿岱４０８,018-886-5050,株式会社　暁フーズ,新規,443,食肉処理業,一般,5/17/18,5/17/18,8/31/23
　高橋商店,秋田市内,,高橋昇吉,継続,451,魚介類販売業,移動,5/18/18,6/1/18,5/31/23
秋田酒類製造株式会社,秋田市川元むつみ町４－１２,018-864-7331,秋田酒類製造株式会社,新規,463,喫茶店営業,一般,5/21/18,5/21/18,4/30/24
さわやか桜参番館,秋田市御所野堤台一丁目６－８８,018-896-7123,株式会社　ＬＥＯＣ,新規,461,飲食店営業,一般,5/21/18,5/21/18,6/30/24
Ｍａｉｓｏｎ　ｄｅ　ｃｈｏｕ　ｃｈｏｕ,秋田市広面字昼寝６７－２,,平元あゆみ,新規,460,飲食店営業,一般,5/21/18,5/21/18,9/30/23
すなっく　さざんか,秋田市土崎港中央一丁目１３－８,018-845-7682,飯塚光子,継続,474,飲食店営業,一般,5/22/18,6/1/18,5/31/23
そば処　田丸屋,秋田市土崎港中央三丁目１１－３,018-845-7884,井上伸,継続,467,飲食店営業,一般,5/22/18,6/1/18,5/31/24
倉や,秋田市土崎港中央六丁目１５－２２,018-845-8860,倉田章子,継続,466,飲食店営業,一般,5/22/18,6/1/18,5/31/24
季節料理　けんちゃん,秋田市土崎港中央一丁目１６－２３,018-846-5014,小坂圭一,継続,465,飲食店営業,一般,5/22/18,6/1/18,5/31/24
美麗,秋田市土崎港中央一丁目１３－１７,018-846-7470,小松崎真美,継続,470,飲食店営業,その他,5/22/18,6/1/18,5/31/23
スナック　ピコ,秋田市土崎港中央一丁目１３－１７,018-846-7855,細井静子,継続,473,飲食店営業,その他,5/22/18,6/1/18,5/31/23
食彩香房　波瑠,秋田市土崎港中央一丁目１３－８,018-847-0150,大友一美,継続,471,飲食店営業,一般,5/22/18,6/1/18,5/31/24
食い呑み屋　チャンピーニ,秋田市土崎港中央一丁目１３－１７,018-847-2707,高橋勝,継続,468,飲食店営業,一般,5/22/18,6/1/18,5/31/24
ディッパーダン秋田土崎ＦＣ店,秋田市土崎港中央四丁目５－３５,018-857-1016,有限会社　ホッホー,継続,477,飲食店営業,一般,5/22/18,6/1/18,5/31/24
ナイス土崎店　,秋田市土崎港中央四丁目５－３５,018-857-5211,株式会社　ナイス,継続,480,食肉販売業,一般,5/22/18,6/1/18,5/31/24
ナイス土崎店　,秋田市土崎港中央四丁目５－３５,018-857-5211,株式会社　ナイス,継続,478,飲食店営業,仕出し・弁当,5/22/18,6/1/18,5/31/24
ナイス土崎店　,秋田市土崎港中央四丁目５－３５,018-857-5211,株式会社　ナイス,継続,479,魚介類販売業,一般,5/22/18,6/1/18,5/31/24
オリーブ,秋田市将軍野南三丁目５－１９,,加賀谷美貴子,継続,469,飲食店営業,一般,5/22/18,6/1/18,5/31/23
永井食堂,秋田市飯島長野中町６－１０,018-846-7976,永井愛子,継続,484,飲食店営業,仕出し・弁当,5/23/18,6/1/18,5/31/23
エームＳＪ１５７９,秋田市土崎港相染町字中島下２７－４,,エームサービスジャパン株式会社,継続,483,飲食店営業,一般,5/23/18,6/1/18,5/31/24
ビジネスホテル直,秋田市土崎港相染町字中谷地１７１,018-846-1016,宇佐美トミ子,継続,501,飲食店営業,一般,5/24/18,6/1/18,5/31/23
サンパギータ,秋田市土崎港中央三丁目３－１８,018-847-4600,浦部メリンダ,継続,508,飲食店営業,一般,5/24/18,6/1/18,5/31/24
ローソン秋田自衛隊通店,秋田市土崎港北三丁目３－９０,018-857-1116,有限会社　あいわ商店,継続,506,飲食店営業,その他,5/24/18,6/1/18,5/31/24
特別養護老人ホーム　金寿園　キャッスル事業所,秋田市下新城笠岡字川向２８,018-857-3811,株式会社　秋田キャッスルホテル,継続,518,飲食店営業,一般,5/24/18,6/1/18,5/31/24
介護老人保健施設　あいぜん苑　キャッスル事業所,秋田市上新城道川字愛染５８,018-870-2001,株式会社　秋田キャッスルホテル,継続,520,飲食店営業,一般,5/24/18,6/1/18,5/31/24
碧い月,秋田市金足追分字海老穴１７,018-873-2529,伊藤菊二,継続,500,飲食店営業,一般,5/24/18,6/1/18,5/31/23
太助寿司本店,秋田市下新城中野字琵琶沼４３９－５,018-873-6975,板取孝昌,継続,516,飲食店営業,一般,5/24/18,6/1/18,5/31/24
Ｌａ．Ｗｉｎｇ,秋田市金足追分字海老穴２０１－１０４,018-873-7452,佐藤みどり,継続,519,飲食店営業,その他,5/24/18,6/1/18,5/31/23
スナック椿,秋田市金足追分海老穴２０１－１０５,018-873-7890,森川千草,継続,517,飲食店営業,一般,5/24/18,6/1/18,5/31/23
空の木　Ｇａｒｄｅｎ,秋田市金足追分字海老穴４６－１,018-874-7168,柴田うつぎ,継続,521,菓子製造業,一般,5/24/18,6/1/18,5/31/23
台湾料理　六順園,秋田市飯島道東三丁目６－５０,018-874-9789,株式会社　銘昇商事,新規,497,飲食店営業,一般,5/24/18,5/24/18,5/31/23
ケンちゃんラーメン秋田店,秋田市飯島道東三丁目６－５４,,岩田靖彦,継続,499,飲食店営業,一般,5/24/18,6/1/18,5/31/24
ホテル　ＡＫ　,秋田市土崎港西四丁目５－２９,018-847-1418,三恵実業有限会社,継続,523,飲食店営業,一般,5/25/18,6/1/18,5/31/24
セリオンキッチン,秋田市土崎港西一丁目９－１,018-857-3381,株式会社　秋田東北ダイケン,継続,525,飲食店営業,仕出し・弁当,5/25/18,6/1/18,5/31/24
フェリーターミナルレストラン,秋田市土崎港西一丁目１３－１３,018-880-2370,フェリーサービス株式会社,継続,524,飲食店営業,一般,5/25/18,6/1/18,5/31/24
ｍａｃｈｉｙａ　ｃａｆｅ,秋田市新屋表町５－１０,,芳賀洋介,新規,522,飲食店営業,一般,5/25/18,5/25/18,6/30/23
土田商店,秋田市土崎港北七丁目５－８７,018-845-1349,土田由仁,継続,545,醤油製造業,一般,5/28/18,6/1/18,5/31/23
たい夢　港北店,秋田市土崎港北七丁目２－２０,018-845-6273,株式会社　三愛社,継続,535,菓子製造業,一般,5/28/18,6/1/18,5/31/24
寿し春,秋田市土崎港中央三丁目４－３７,018-846-1930,佐藤進,継続,542,飲食店営業,一般,5/28/18,6/1/18,5/31/23
やきとり　朋,秋田市土崎港東四丁目４－１,018-846-2407,小笠原友子,継続,540,飲食店営業,一般,5/28/18,6/1/18,5/31/23
生活協同組合コープあきた土崎店,秋田市土崎港北六丁目２－９０,018-846-7555,生活協同組合コープあきた,継続,533,魚介類販売業,一般,5/28/18,6/1/18,5/31/24
生活協同組合コープあきた土崎店,秋田市土崎港北六丁目２－９０,018-846-7555,生活協同組合コープあきた,継続,532,飲食店営業,仕出し・弁当,5/28/18,6/1/18,5/31/24
仕出し伊藤,秋田市土崎港中央二丁目３－２,018-857-0397,伊藤正司,継続,541,飲食店営業,仕出し・弁当,5/28/18,6/1/18,5/31/23
Ｋｏｎｄｉｔｏｒｅｉ．Ｊｉｎ,秋田市将軍野青山町１５－４９,,有限会社　平泉菓子本舗,継続,530,菓子製造業,一般,5/28/18,6/1/18,5/31/24
Ｋｏｎｄｉｔｏｒｅｉ．Ｊｉｎ,秋田市将軍野青山町１５－４９,,有限会社　平泉菓子本舗,継続,531,飲食店営業,一般,5/28/18,6/1/18,5/31/24
伸栄,秋田市山王二丁目２－３４,018-863-1020,有限会社　伸栄,新規,557,食肉販売業,一般,5/29/18,5/29/18,4/30/24
Ｂａｒ　Ｐａｄｄｙ’ｓ,秋田市土崎港中央一丁目１３－１７,018-827-3987,沖田るみ子,継続,558,飲食店営業,一般,5/30/18,6/1/18,5/31/23
いない　いない　ＢＡＲ,秋田市土崎港中央三丁目３－１８,018-847-7130,佐藤貴仁,継続,559,飲食店営業,その他,5/30/18,6/1/18,5/31/23
まんま,秋田市中通四丁目７－３５,018-833-6990,朝倉信子,新規,563,飲食店営業,一般,5/31/18,5/31/18,11/30/23
さが乃,秋田市大町五丁目４－２７,018-863-4461,石川由紀子,新規,566,飲食店営業,一般,6/1/18,6/1/18,10/31/23
ＣＬＵＢ　Ｌｉｅｎ,秋田市大町五丁目４－２２,,田中怜,新規,565,飲食店営業,一般,6/1/18,6/1/18,10/31/23
医療法人梅栄会　細谷病院,秋田市南通宮田３－１０,018-833-3455,株式会社　香梅社,新規,572,飲食店営業,一般,6/7/18,6/7/18,2/28/25
Ｊｉｊｉ,秋田市大町五丁目３－２３,018-853-6787,斎藤照美,新規,571,飲食店営業,一般,6/7/18,6/7/18,10/31/23
レストランルセット,秋田市大町一丁目２－１０,018-874-9645,株式会社　ワイズキッチン,新規,570,そうざい製造業,一般,6/7/18,6/7/18,10/31/23
鳥天狗,秋田市中通五丁目５－３５,,甲野隆紀,新規,573,飲食店営業,一般,6/7/18,6/7/18,11/30/23
なじみ,秋田市広面字昼寝６－１０,018-834-5051,山本英行,新規,579,飲食店営業,一般,6/11/18,6/11/18,9/30/23
京都互福庵　秋田店,秋田市大町五丁目４－２２,018-866-1839,株式会社　凰麟,新規,578,飲食店営業,一般,6/11/18,6/11/18,10/31/23
ＨＡＣＨＩの巣,秋田市南通亀の町１－７,018-836-7272,伊藤謙吾,新規,601,飲食店営業,一般,6/14/18,6/14/18,2/29/24
株式会社　千秋食品　下北手寒川工場,秋田市下北手寒川字宮沢１２０,018-853-8024,株式会社　千秋食品,新規,603,ソース類製造業,一般,6/14/18,6/14/18,9/30/23
株式会社　千秋食品　下北手寒川工場,秋田市下北手寒川字宮沢１２０,018-853-8024,株式会社　千秋食品,新規,604,そうざい製造業,一般,6/14/18,6/14/18,9/30/23
居酒屋　えん,秋田市山王一丁目２－１２,018-883-1134,松井優,新規,602,飲食店営業,一般,6/14/18,6/14/18,4/30/24
（株）三晶御所野食堂,秋田市御所野堤台一丁目５－１－８,018-838-1863,株式会社　三晶,新規,605,飲食店営業,一般,6/15/18,6/15/18,6/30/23
秋田料理　ちゃわん屋,秋田市大町四丁目２－７,018-864-5202,豊田薫,新規,607,飲食店営業,一般,6/15/18,6/15/18,10/31/23
ファミリーマート秋田飯島中央店,秋田市土崎港北三丁目１７－４１,018-880-6648,佐藤滝仁,新規,608,飲食店営業,その他,6/15/18,6/15/18,5/31/25
スナック　ｓｔｏｎｅ,秋田市大町五丁目２－１２,,根布谷杏奈,新規,606,飲食店営業,一般,6/15/18,6/15/18,10/31/23
鮨あら田,秋田市新屋扇町５－２,018-828-1030,滝田正人,継続,616,飲食店営業,一般,6/19/18,7/1/18,6/30/24
うまみや　扇のくら,秋田市新屋扇町１１－１４,018-828-2971,加藤正春,継続,615,飲食店営業,一般,6/19/18,7/1/18,6/30/23
有限会社　榎食品,秋田市新屋元町９－３,018-828-3823,有限会社　榎食品　,継続,620,飲食店営業,その他,6/20/18,7/1/18,6/30/24
渡勇菓子舗,秋田市新屋元町１５－５,018-828-4103,渡邉喜代子,継続,649,菓子製造業,一般,6/20/18,7/1/18,6/30/24
そば処　司　こなや,秋田市新屋鳥木町１－６２,018-828-5701,富士製粉産業株式会社,継続,622,飲食店営業,一般,6/20/18,7/1/18,6/30/24
ローソン秋田新屋日吉町店,秋田市新屋比内町１３２－１,018-828-8933,藤原房雄,継続,643,飲食店営業,仕出し・弁当,6/20/18,7/1/18,6/30/24
めん峯,秋田市仁井田蕗見町５－３,018-829-1688,菅原隆志,継続,631,飲食店営業,一般,6/20/18,7/1/18,6/30/24
養老乃瀧仁井田店,秋田市仁井田二ツ屋一丁目１０－４７,018-831-4046,柿木光男,継続,629,飲食店営業,一般,6/20/18,7/1/18,6/30/24
大黒屋,秋田市仁井田蕗見町７－１８,018-839-0315,新田又治郎,継続,627,飲食店営業,仕出し・弁当,6/20/18,7/1/18,6/30/24
スナック来,秋田市仁井田新田二丁目１－９,018-839-0661,鎌田彰,継続,626,飲食店営業,その他,6/20/18,7/1/18,6/30/23
堀井精肉店,秋田市仁井田新田一丁目１４－１７,018-839-4703,堀井廣睦,継続,634,食肉販売業,一般,6/20/18,7/1/18,6/30/23
有限会社　秋田ランチサービス,秋田市仁井田本町四丁目１－３２,018-839-6123,有限会社　秋田ランチサービス,継続,628,飲食店営業,仕出し・弁当,6/20/18,7/1/18,6/30/24
今商店,秋田市新屋寿町６－５４,018-862-5213,齋藤みか,継続,648,食肉販売業,一般,6/20/18,7/1/18,6/30/23
今商店,秋田市新屋寿町６－５４,018-862-5213,齋藤みか,継続,647,魚介類販売業,一般,6/20/18,7/1/18,6/30/23
ブランシュ,秋田市新屋朝日町１７－６,018-867-1433,佐々木雄一,継続,636,飲食店営業,一般,6/20/18,7/1/18,6/30/24
煮干そば　まると　中野分店,秋田市下新城中野字琵琶沼４３９－１,018-874-8270,みちのく麺匠株式会社,新規,651,飲食店営業,一般,6/20/18,6/20/18,5/31/24
ファミリーマート　秋田新屋扇町店,秋田市新屋扇町２－２２,018-888-8233,有限会社　ジャガ・コーポレーション,継続,621,飲食店営業,その他,6/20/18,7/1/18,6/30/24
紫陽花,秋田市仁井田新田一丁目５－１５,018-893-6829,猿田百利子,継続,630,飲食店営業,一般,6/20/18,7/1/18,6/30/24
焼肉　大同門,秋田市卸町一丁目１－５,018-824-5129,株式会社　大同観光,継続,658,飲食店営業,一般,6/21/18,7/1/18,6/30/24
ふぁーむハウス　旬菜,秋田市四ツ小屋字中野１２８,018-829-2826,堀井厚子,継続,653,飲食店営業,一般,6/21/18,7/1/18,6/30/24
（有）鈴政商店,秋田市四ツ小屋小阿地字柳林２６－２,018-839-3597,有限会社　鈴政商店,継続,655,飲食店営業,仕出し・弁当,6/21/18,7/1/18,6/30/24
ベーカリー　アンシャンテ,秋田市御野場新町一丁目２７－１７,018-839-5818,有限会社　天然酵母パン　アンシャンテ,継続,656,菓子製造業,一般,6/21/18,7/1/18,6/30/24
無限堂　卸町店,秋田市卸町二丁目２－７,018-862-2133,株式会社　無限堂,継続,659,飲食店営業,一般,6/21/18,7/1/18,6/30/24
いち絵,秋田市卸町二丁目２－７,,西謄条,継続,657,喫茶店営業,一般,6/21/18,7/1/18,6/30/24
自家焙煎珈琲専門店　アメヤ珈琲,秋田市内,,高橋悟,継続,667,飲食店営業,露天営業,6/21/18,7/16/18,7/15/23
仙令平庄,秋田市卸町二丁目２－７,018-824-5939,株式会社　仙令平庄,継続,670,魚介類販売業,一般,6/22/18,7/1/18,6/30/24
仙令鮨,秋田市卸町二丁目２－７,018-824-5939,株式会社　仙令平庄,継続,671,飲食店営業,その他,6/22/18,7/1/18,6/30/24
うんま,秋田市牛島東七丁目１－１１,018-825-2340,株式会社　アベルネット,継続,672,飲食店営業,一般,6/22/18,7/1/18,6/30/24
株式会社　肉の若葉,秋田市新屋鳥木町４－４６,018-828-6221,株式会社　肉の若葉,継続,675,食肉処理業,一般,6/22/18,7/1/18,6/30/24
