市町村コード,都道府県名,市区町村名,名称,名称ｶﾅ,医療機関の種類,住所,電話番号,FAX番号,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,診療科目,病床数,URL
052124,秋田県,大仙市,おやま薬局,ｵﾔﾏﾔｯｷｮｸ,薬局,秋田県大仙市大曲あけぼの町8-11,0187-62-7122,0187-62-7123,月火水木金土,8:30,17:30（土；12:00）,,薬局,,
052124,秋田県,大仙市,下山薬局黒瀬店,ｼﾓﾔﾏﾔｯｷｮｸｸﾛｾﾃﾝ,薬局,秋田県大仙市大曲黒瀬町3-44,0187-63-2818,0187-63-2813,月火水木金土,8:30,17:30（土；13:00）,,薬局,,
052124,秋田県,大仙市,大曲調剤薬局,ｵｵﾏｶﾞﾘﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市大曲上栄町10-32,0187-66-2688,0187-66-2918,月火水木金土,9:00,17:30（土；12:30）,,薬局,,
052124,秋田県,大仙市,日本調剤大曲南薬局,ﾆﾎﾝﾁｮｳｻﾞｲｵｵﾏｶﾞﾘﾐﾅﾐﾔｯｷｮｸ,薬局,秋田県大仙市大曲上栄町7-11,0187-66-0550,0187-66-0551,月火水木金土,9:00,18:00（土；13:00）,,薬局,,
052124,秋田県,大仙市,下山サカエ薬局,ｼﾓﾔﾏｻｶｴﾔｯｷｮｸ,薬局,秋田県大仙市大曲上栄町8-17,0187-62-5110,0187-62-6431,月火水木金土,8:30,18:10（土；12:40）,,薬局,,
052124,秋田県,大仙市,上大町薬局,ｶﾐｵｵﾏﾁﾔｯｷｮｸ,薬局,秋田県大仙市大曲上大町551,0187-86-0838,0187-66-2886,月火水木金土,8:30,"17:30（水,土；13:00）",,薬局,,
052124,秋田県,大仙市,合資会社オオミ薬局,ｺﾞｳｼｶﾞｲｼｬｵｵﾐﾔｯｷｮｸ,薬局,秋田県大仙市大曲須和町1丁目4-22,0187-62-0322,0187-62-7221,月火水木金土,8:30,17:30（土；13:00）,,薬局,,
052124,秋田県,大仙市,たいよう薬局,ﾀｲﾖｳﾔｯｷｮｸ,薬局,秋田県大仙市大曲須和町2丁目2-49,0187-63-9200,0187-63-9300,月火水木金土,8:45,"17:45（水,土；12:30）",,薬局,,
052124,秋田県,大仙市,藤井薬局,ﾌｼﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市大曲中通町1-24,0187-62-2458,0187-62-2458,月火水木金土・祝日,9:30,18:00,土PMはO.T.Cのみ営業,薬局,,
052124,秋田県,大仙市,中央薬局,ﾁｭｳｵｳﾔｯｷｮｸ,薬局,秋田県大仙市大曲中通町3-4,0187-63-2800,0187-63-2801,月火水木金土,8:30,18:00（土；15:00）,,薬局,,
052124,秋田県,大仙市,あさひ薬局,ｱｻﾋﾔｯｷｮｸ,薬局,秋田県大仙市大曲中通町4-26,0187-86-3433,0187-66-2833,月火水木金土,8:30,17:45（土；12:30）,,薬局,,
052124,秋田県,大仙市,下山薬局ねむのき店,ｼﾓﾔﾏﾔｯｷｮｸﾈﾑﾉｷﾃﾝ,薬局,秋田県大仙市大曲通町10-1,0187-62-0481,0187-62-7083,月火水木金,9:00,17:00,,薬局,,
052124,秋田県,大仙市,ハート調剤薬局,ﾊｰﾄﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市大曲通町10-11,0187-66-3939,0187-63-0051,月火水木金,8:30,17:30,,薬局,,
052124,秋田県,大仙市,こまち調剤薬局,ｺﾏﾁﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市大曲通町6-30,0187-86-0363,0187-86-0364,月火水木金土,8:30,17:30（土；13:00）,,薬局,,
052124,秋田県,大仙市,厚生調剤薬局,ｺｳｾｲﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市大曲通町8-36,0187-73-6345,0187-73-5123,月火水木金,8:30,17:30,,薬局,,
052124,秋田県,大仙市,仙北調剤薬局,ｾﾝﾎﾞｸﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市大曲通町8-36,0187-63-5880,0187-63-5899,月火水木金土日・祝日,8:30,"18:00（土,日,祝日；17:30）",,薬局,,
052124,秋田県,大仙市,日本調剤大曲薬局,ﾆﾎﾝﾁｮｳｻﾞｲｵｵﾏｶﾞﾘﾔｯｷｮｸ,薬局,秋田県大仙市大曲通町8-36　Ａｎｂｅｅ大曲１Ｆ,0187-66-3950,0187-66-3951,月火水木金,9:00,18:00,,薬局,,
052124,秋田県,大仙市,大曲ひまわり薬局,ｵｵﾏｶﾞﾘﾋﾏﾜﾘﾔｯｷｮｸ,薬局,秋田県大仙市大曲日の出町2丁目4-45,0187-88-8255,0187-88-8101,月火水木金土,8:30,"月,金；18:00,火,木；20:45,土;12:30",第2土；休業,薬局,,
052124,秋田県,大仙市,佐野薬局日の出町店,ｻﾉﾔｯｷｮｸﾋﾉﾃﾞﾁｮｳﾃﾝ,薬局,秋田県大仙市大曲日の出町2丁目7-6,0187-88-8400,0187-88-8412,月火水木金土,8:30,"17:30（木；12:00,土；16:00）",,薬局,,
052124,秋田県,大仙市,浜町調剤薬局,ﾊﾏﾁｮｳﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市大曲浜町7-41,0187-66-3207,0187-66-3530,月火水木金土,8:30,"17:30（水；13:00,土；16:00）","第2,第4土；休業",薬局,,
052124,秋田県,大仙市,下山薬局福住店,ｼﾓﾔﾏﾔｯｷｮｸﾌｸｽﾞﾐﾃﾝ,薬局,秋田県大仙市大曲福住町2-26,0187-63-8008,0187-63-8007,月火水木金土,8:30,"17:30（水,土；13:00）",,薬局,,
052124,秋田県,大仙市,ワコウ薬局,ﾜｺｳﾔｯｷｮｸ,薬局,秋田県大仙市大曲福住町2-4,0187-66-3060,0187-62-3101,月火水木金土,8:30,"17:30（水,土；13:00）",,薬局,,
052124,秋田県,大仙市,しろがね調剤薬局,ｼﾛｶﾞﾈﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市大曲福住町3-19,0187-62-5466,0187-62-5467,月火水木金土,8:30,"18:30（水；16:30,土；15:00）",,薬局,,
052124,秋田県,大仙市,みよし薬局大曲厚生医療センター前,ﾐﾖｼﾔｯｷｮｸｵｵﾏｶﾞﾘｺｳｾｲｲﾘｮｳｾﾝﾀｰﾏｴ,薬局,秋田県大仙市大曲福住町6-20,0187-66-3150,0187-66-3151,月火水木金,8:45,17:45,,薬局,,
052124,秋田県,大仙市,池田薬局大曲店,ｲｹﾀﾞﾔｯｷｮｸｵｵﾏｶﾞﾘﾃﾝ,薬局,秋田県大仙市大曲福住町9-22,0187-73-7500,0187-73-7502,月火水木金土,8:30,"18:00（水；13:00,土；15:00）",,薬局,,
052124,秋田県,大仙市,みずほ薬局,ﾐｽﾞﾎﾔｯｷｮｸ,薬局,秋田県大仙市朝日町17-4,0187-63-0350,0187-63-0351,月火水木金土,8:30,18:00（土；13:00）,,薬局,,
052124,秋田県,大仙市,ライフ薬局,ﾗｲﾌﾔｯｷｮｸ,薬局,秋田県大仙市飯田字堰東151-1,0187-73-6408,0187-73-6409,月火水木金土,9:00,17:30（土；12:30）,,薬局,,
052124,秋田県,大仙市,みよし薬局市立大曲病院前,ﾐﾖｼﾔｯｷｮｸｼﾘﾂｵｵﾏｶﾞﾘﾋﾞｮｳｲﾝﾏｴ,薬局,秋田県大仙市飯田字堰東152-3,0187-66-3730,0187-66-3731,月火水木金,9:00,17:45,,薬局,,
052124,秋田県,大仙市,こまち薬局福田店,ｺﾏﾁﾔｯｷｮｸﾌｸﾀﾞﾃﾝ,薬局,秋田県大仙市福田町21-23-12,0187-66-3332,0187-66-3339,月火水木金土,9:00,"18:30（木,土；12:30）",,薬局,,
052124,秋田県,大仙市,大曲駅東みよし薬局,ｵｵﾏｶﾞﾘｴｷﾋｶﾞｼﾐﾖｼﾔｯｷｮｸ,薬局,秋田県大仙市福田町22-21-7,0187-62-3440,0187-62-3441,月火水木金土,9:00,"18:30（水；12:00,土；17:00）",,薬局,,
052124,秋田県,大仙市,調剤薬局ツルハドラッグ大曲福田店,ﾁｮｳｻﾞｲﾔｯｷｮｸﾂﾙﾊﾄﾞﾗｯｸﾞｵｵﾏｶﾞﾘﾌｸﾀﾞﾃﾝ,薬局,秋田県大仙市福田町22-23-6,0187-86-3306,0187-86-3306,月火水木金土,9:00,18:00,,薬局,,
052124,秋田県,大仙市,ヒカリ薬局,ﾋｶﾘﾔｯｷｮｸ,薬局,秋田県大仙市角間川字下中町33-2,0187-86-5450,0187-86-5460,月火水木金土,8:30,17:30（土；12:00）,,薬局,,
052124,秋田県,大仙市,薬局すばる,ﾔｯｷｮｸｽﾊﾞﾙ,薬局,秋田県大仙市角間川町字町頭180-19,0187-65-4141,0187-65-4500,月火水木金土,8:30,"月,金；18:00,火,水,木,土；13:00",,薬局,,
052124,秋田県,大仙市,イオン薬局大曲店,ｲｵﾝﾔｯｷｮｸｵｵﾏｶﾞﾘﾃﾝ,薬局,秋田県大仙市和合字坪立177,0187-66-3168,0187-66-3169,月火水木金土日・祝日,9:00,21:00,,薬局,,
052124,秋田県,大仙市,だけ調剤薬局,ﾀﾞｹﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市神宮寺字本郷下63-7,0187-72-2558,0187-72-2566,月火水木金土,8:30,"17:30（水,土；12:30）",第4土；休業,薬局,,
052124,秋田県,大仙市,にしせんぼく薬局,ﾆｼｾﾝﾎﾞｸﾔｯｷｮｸ,薬局,秋田県大仙市刈和野字清光院後38-2,0187-87-3075,0187-87-3076,月火水木金土日,8:30（日；10:00）,"18:00（土；12:30,日；12:00）",日曜日は近隣の診療所で診療がある場合のみ営業,薬局,,
052124,秋田県,大仙市,広小路薬局,ﾋﾛｺｳｼﾞﾔｯｷｮｸ,薬局,秋田県大仙市刈和野字清光院後42-26,0187-75-2233,0187-75-2712,月火水木金土,9:00,17:00（土；12:00）,,薬局,,
052124,秋田県,大仙市,松田薬局,ﾏﾂﾀﾞﾔｯｷｮｸ,薬局,秋田県大仙市協和境字野田86-1,018-892-3051,018-892-3480,月火水木金土,7:30,18:30（土；15:00）,,薬局,,
052124,秋田県,大仙市,中仙薬局,ﾅｶｾﾝﾔｯｷｮｸ,薬局,秋田県大仙市長野字新山63-3,0187-56-7511,0187-56-7512,月火水木金土,8:30,"17:30（水,土；12:30）",,薬局,,
052124,秋田県,大仙市,羽後長野駅前薬局,ｳｺﾞﾅｶﾞﾉｴｷﾏｴﾔｯｷｮｸ,薬局,秋田県大仙市長野字柳田58-4,0187-49-6185,0187-49-6195,月火水木金日,9:00,"19:00（水；12:00,土；17:00）",,薬局,,
052124,秋田県,大仙市,つくしの薬局,ﾂｸｼﾉﾔｯｷｮｸ,薬局,秋田県大仙市長野字柳田64-2,0187-56-4411,0187-56-3080,月火水木金土,9:00,18:30（土；13:00）,,薬局,,
052124,秋田県,大仙市,佐々木薬局,ｻｻｷﾔｯｷｮｸ,薬局,秋田県大仙市長野字六日町94,0187-56-3002,0187-56-2110,月火水木金土,8:30,18:00（土；12:30）,,薬局,,
052124,秋田県,大仙市,米澤薬局,ﾖﾈｻﾞﾜﾔｯｷｮｸ,薬局,秋田県大仙市長野六日町68,0187-56-3003,0187-56-3003,月火水木金土日・祝日,8:00,19:00,"第1,第3日；休業",薬局,,
052124,秋田県,大仙市,こまち調剤薬局太田店,ｺﾏﾁﾁｮｳｻﾞｲﾔｯｷｮｸｵｵﾀﾃﾝ,薬局,秋田県大仙市太田町横沢字久保関北718-1,0187-86-9070,0187-86-9071,月火水木金土,8:30,"月,水,金；17:30,火,木；19:00,土；13:00",,薬局,,
052124,秋田県,大仙市,冨岡薬局,ﾄﾐｵｶﾔｯｷｮｸ,薬局,秋田県大仙市太田町横沢字堀ノ内1,0187-88-1139,0187-88-1394,月火水木金土,8:00,19:30,,薬局,,
052124,秋田県,大仙市,大曲みよし薬局,ｵｵﾏｶﾞﾘﾐﾖｼﾔｯｷｮｸ,薬局,秋田県大仙市戸蒔字谷地添70-3,0187-63-4440,0187-63-4441,月火水木金土,9:00,"月,水,金；18:00,火,木,土；12:30",,薬局,,
052124,秋田県,大仙市,（有）日の出調剤薬局,ﾕｳｹﾞﾝｶﾞｲｼｬﾋﾉﾃﾞﾁｮｳｻﾞｲﾔｯｷｮｸ,薬局,秋田県大仙市横堀字杉下120,0187-69-2300,0187-69-2300,月火水木金土,8:00,17:30（土；12:00）,,薬局,,
052124,秋田県,大仙市,たかなし薬局,ﾀｶﾅｼﾔｯｷｮｸ,薬局,秋田県大仙市高梨字田茂木89,0187-62-6688,0187-62-6688,月火水木金土,8:30,"17:30（水,土；13:00）",,薬局,,
,,,,,,,,,,,,,,,
